station_code,station_name,latitude,longitude
MAS,Chennai Central,13.0836,80.2753
AVD,Avadi,13.1143,80.1009
AJJ,Arakkonam,13.0804,79.6693
KPD,Katpadi Jn,12.9295,79.1324
JTJ,Jolarpettai,12.5739,78.5768
SA,Salem Jn,11.6643,78.146
ED,Erode Jn,11.341,77.7172
TUP,Tiruppur,11.1085,77.3411
CBF,Coimbatore Nrth,11.034,76.9693
CBE,Coimbatore Jn,11.0168,76.9558
PER,Perambur,13.1167,80.2333
TBM,Tambaram,12.9249,80.1
TPJ,Tiruchchirapali,10.805,78.6856
MDU,Madurai Jn,9.9195,78.1193
TEN,Tirunelveli Jn,8.7276,77.7043
BZA,Vijayawada Jn,16.5193,80.6305
BPQ,Balharshah,19.8616,79.3688
NGP,Nagpur,21.1458,79.0882
ET,Itarsi Jn,22.6133,77.7594
BPL,Bhopal Jn,23.2599,77.4126
AGC,Agra Cantt,27.1767,78.0081
NZM,H Nizamuddin,28.5713,77.2511
NDLS,New Delhi,28.6419,77.2194
HWH,Howrah Jn,22.5839,88.3425
VSKP,Visakhapatnam,17.6868,83.2185
SLO,Samalkot Jn,13.7626,79.9981
OGL,Ongole,15.5057,80.0499
NLR,Nellore,14.4426,79.9865
GDR,Gudur Jn,14.1489,79.8553
SMVB,Smvt Bengaluru,12.9957,77.599
SHM,Shalimar,22.5524,88.3192
TVC,Trivandrum Cntl,8.4855,76.9492
TPTY,Tirupati,13.6288,79.4192
RU,Renigunta Jn,13.651,79.5117
MTJ,Mathura Jn,27.4924,77.6737
MMCT,Mumbai Central,18.9693,72.8194
ST,Surat,21.1702,72.8311
BRC,Vadodara Jn,22.3072,73.1812
NJP,New Jalpaiguri,26.7053,88.2576
GZB,Ghaziabad,28.6692,77.4538
UMB,Ambala Cant Jn,30.3782,76.8268
ASR,Amritsar Jn,31.634,74.8723
SC,Secunderabad Jn,17.4339,78.5006
LTT,Lokmanyatilak T,19.0748,72.9028
PUNE,Pune Jn,18.5204,73.8567
WADI,Wadi,17.0741,76.976
CDG,Chandigarh,30.7333,76.7794
FZR,Firozpur Cant,30.9254,74.6137
KYQ,Kamakhya,26.163,91.6778
GHY,Guwahati,26.1445,91.7362
NCJ,Nagercoil Jn,8.1776,77.4323
ERS,Ernakulam Jn,9.9816,76.2999
ADI,Ahmedabad Jn,23.0225,72.5714
DHN,Dhanbad Jn,23.7957,86.4304
RNC,Ranchi,23.3441,85.3096
PNBE,Patna Jn,25.6119,85.1439
CNB,Kanpur Central,26.4499,80.3319
BKN,Bikaner Jn,28.0229,73.3119
BSP,Bilaspur Jn,22.0797,82.1409
BWN,Barddhaman Jn,23.2324,87.8615
DBRG,Dibrugarh,27.4728,94.912
NTSK,New Tinsukia Jn,27.4969,95.3601
BJU,Barauni Jn,25.4717,86.0012
AII,Ajmer Jn,26.4499,74.6399
JP,Jaipur,26.9124,75.7873
SBC,Ksr Bangalore Cy Jn,12.9779,77.5672
TVCN,Trivandrum North,8.5119,76.9523
CAPE,Kanyakumari,8.0883,77.5385
SCL,Silchar,24.8333,92.7789
SVDK,Shri Mata Vaishno Devi Katra,32.9915,74.9455
AGTL,Agartala,23.8315,91.2868
RMM,Rameswaram,9.2876,79.3129
GKP,Gorakhpur,26.7606,83.3732
OKHA,Okha,22.4668,69.0731
JBN,Jogbani,26.4014,87.2644
GIMB,Gandhidham,23.0753,70.1337
LGH,Lalganj,25.8704,82.4008
YNRK,Rishikesh,30.1158,78.2993
SGNR,Sri Ganganagar,29.9175,73.8629
DBG,Darbhanga,26.1542,85.8978
MYS,Mysuru,12.3051,76.6551
JAT,Jammu Tawi,32.7266,74.857
