train_number,train_name,source_station,destination_station,capacity,month,season,demand_multiplier,estimated_passengers,occupancy_rate,waitlist_count,crowd_level
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,1,Winter,1.05,1378,0.766,0,Moderate
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,2,Winter,0.9,1245,0.692,0,Low
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,3,Summer,1.25,1566,0.87,0,Moderate
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,4,Summer,1.1,1393,0.774,0,Moderate
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,5,Summer,1.4,1879,1.044,47,High
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,6,Monsoon,0.85,1042,0.579,0,Low
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,7,Monsoon,0.8,1062,0.59,0,Low
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,8,Monsoon,0.9,1094,0.608,0,Low
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,9,Post-Monsoon,1.0,1249,0.694,0,Low
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,10,Post-Monsoon,1.3,1708,0.949,0,High
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,11,Post-Monsoon,1.45,2039,1.133,143,Overcrowded
11013,Coimbatore Express,Lokmanyatilak T,Thane,1800,12,Winter,1.2,1665,0.925,0,High
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,1,Winter,1.05,1402,0.779,0,Moderate
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,2,Winter,0.9,1087,0.604,0,Low
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,3,Summer,1.25,1530,0.85,0,Moderate
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,4,Summer,1.1,1425,0.792,0,Moderate
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,5,Summer,1.4,1656,0.92,0,High
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,6,Monsoon,0.85,1090,0.606,0,Low
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,7,Monsoon,0.8,939,0.522,0,Low
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,8,Monsoon,0.9,1085,0.603,0,Low
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,9,Post-Monsoon,1.0,1269,0.705,0,Moderate
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,10,Post-Monsoon,1.3,1765,0.981,0,High
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,11,Post-Monsoon,1.45,1942,1.079,85,Overcrowded
11014,Coimbatore Express,Coimbatore Jn,Tiruppur,1800,12,Winter,1.2,1470,0.817,0,Moderate
11027,Mumbai Chennai Mail,Dadar,Thane,1500,1,Winter,1.05,1233,0.822,0,Moderate
11027,Mumbai Chennai Mail,Dadar,Thane,1500,2,Winter,0.9,1078,0.719,0,Moderate
11027,Mumbai Chennai Mail,Dadar,Thane,1500,3,Summer,1.25,1449,0.966,0,High
11027,Mumbai Chennai Mail,Dadar,Thane,1500,4,Summer,1.1,1203,0.802,0,Moderate
11027,Mumbai Chennai Mail,Dadar,Thane,1500,5,Summer,1.4,1677,1.118,106,Overcrowded
11027,Mumbai Chennai Mail,Dadar,Thane,1500,6,Monsoon,0.85,924,0.616,0,Low
11027,Mumbai Chennai Mail,Dadar,Thane,1500,7,Monsoon,0.8,840,0.56,0,Low
11027,Mumbai Chennai Mail,Dadar,Thane,1500,8,Monsoon,0.9,1012,0.675,0,Low
11027,Mumbai Chennai Mail,Dadar,Thane,1500,9,Post-Monsoon,1.0,1174,0.783,0,Moderate
11027,Mumbai Chennai Mail,Dadar,Thane,1500,10,Post-Monsoon,1.3,1578,1.052,46,Overcrowded
11027,Mumbai Chennai Mail,Dadar,Thane,1500,11,Post-Monsoon,1.45,1612,1.075,67,Overcrowded
11027,Mumbai Chennai Mail,Dadar,Thane,1500,12,Winter,1.2,1369,0.913,0,High
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,1,Winter,1.05,1116,0.744,0,Moderate
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,2,Winter,0.9,925,0.617,0,Low
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,3,Summer,1.25,1213,0.809,0,Moderate
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,4,Summer,1.1,1168,0.779,0,Moderate
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,5,Summer,1.4,1350,0.9,0,High
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,6,Monsoon,0.85,790,0.527,0,Low
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,7,Monsoon,0.8,798,0.532,0,Low
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,8,Monsoon,0.9,937,0.625,0,Low
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,9,Post-Monsoon,1.0,1077,0.718,0,Moderate
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,10,Post-Monsoon,1.3,1282,0.855,0,Moderate
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,11,Post-Monsoon,1.45,1468,0.979,0,High
11028,Mumbai Chennai Mail,Satara,Koregaon,1500,12,Winter,1.2,1188,0.792,0,Moderate
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,1,Winter,1.05,714,0.84,0,Moderate
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,2,Winter,0.9,623,0.734,0,Moderate
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,3,Summer,1.25,923,1.086,43,Overcrowded
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,4,Summer,1.1,722,0.85,0,Moderate
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,5,Summer,1.4,1022,1.203,103,Overcrowded
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,6,Monsoon,0.85,544,0.641,0,Low
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,7,Monsoon,0.8,583,0.686,0,Low
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,8,Monsoon,0.9,570,0.671,0,Low
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,9,Post-Monsoon,1.0,717,0.844,0,Moderate
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,10,Post-Monsoon,1.3,847,0.997,0,High
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,11,Post-Monsoon,1.45,941,1.108,55,Overcrowded
12001,Shatabdi,Rani Kamlapati,Bhopal Jn,850,12,Winter,1.2,861,1.014,7,High
12002,Shatabdi,New Delhi,Mathura Jn,850,1,Winter,1.05,855,1.006,3,High
12002,Shatabdi,New Delhi,Mathura Jn,850,2,Winter,0.9,781,0.919,0,High
12002,Shatabdi,New Delhi,Mathura Jn,850,3,Summer,1.25,964,1.135,68,Overcrowded
12002,Shatabdi,New Delhi,Mathura Jn,850,4,Summer,1.1,944,1.111,56,Overcrowded
12002,Shatabdi,New Delhi,Mathura Jn,850,5,Summer,1.4,1054,1.24,122,Overcrowded
12002,Shatabdi,New Delhi,Mathura Jn,850,6,Monsoon,0.85,727,0.856,0,Moderate
12002,Shatabdi,New Delhi,Mathura Jn,850,7,Monsoon,0.8,595,0.7,0,Moderate
12002,Shatabdi,New Delhi,Mathura Jn,850,8,Monsoon,0.9,758,0.892,0,Moderate
12002,Shatabdi,New Delhi,Mathura Jn,850,9,Post-Monsoon,1.0,765,0.901,0,High
12002,Shatabdi,New Delhi,Mathura Jn,850,10,Post-Monsoon,1.3,991,1.167,85,Overcrowded
12002,Shatabdi,New Delhi,Mathura Jn,850,11,Post-Monsoon,1.45,1147,1.35,178,Overcrowded
12002,Shatabdi,New Delhi,Mathura Jn,850,12,Winter,1.2,971,1.143,72,Overcrowded
12009,Shatabdi,Mumbai Central,Borivali,850,1,Winter,1.05,677,0.797,0,Moderate
12009,Shatabdi,Mumbai Central,Borivali,850,2,Winter,0.9,527,0.621,0,Low
12009,Shatabdi,Mumbai Central,Borivali,850,3,Summer,1.25,730,0.859,0,Moderate
12009,Shatabdi,Mumbai Central,Borivali,850,4,Summer,1.1,710,0.836,0,Moderate
12009,Shatabdi,Mumbai Central,Borivali,850,5,Summer,1.4,867,1.021,10,High
12009,Shatabdi,Mumbai Central,Borivali,850,6,Monsoon,0.85,555,0.653,0,Low
12009,Shatabdi,Mumbai Central,Borivali,850,7,Monsoon,0.8,472,0.556,0,Low
12009,Shatabdi,Mumbai Central,Borivali,850,8,Monsoon,0.9,538,0.633,0,Low
12009,Shatabdi,Mumbai Central,Borivali,850,9,Post-Monsoon,1.0,633,0.745,0,Moderate
12009,Shatabdi,Mumbai Central,Borivali,850,10,Post-Monsoon,1.3,752,0.885,0,Moderate
12009,Shatabdi,Mumbai Central,Borivali,850,11,Post-Monsoon,1.45,909,1.07,35,Overcrowded
12009,Shatabdi,Mumbai Central,Borivali,850,12,Winter,1.2,688,0.81,0,Moderate
12010,Shatabdi,Ahmedabad Jn,Nadiad Jn,850,1,Winter,1.05,583,0.687,0,Low
