station_name,hour_of_day,day_of_week,day_name,num_trains,crowd_score,crowd_level,transfer_congestion_risk,peak_slot
Howrah Jn,0,0,Mon,18,51.8,Moderate,Moderate,No
Howrah Jn,1,0,Mon,18,47.1,Moderate,Moderate,No
Howrah Jn,2,0,Mon,18,45.2,Moderate,Moderate,No
Howrah Jn,3,0,Mon,18,47.1,Moderate,Moderate,No
Howrah Jn,4,0,Mon,18,51.8,Moderate,Moderate,No
Howrah Jn,5,0,Mon,18,65.9,High,Moderate,No
Howrah Jn,6,0,Mon,18,80.0,Overcrowded,Moderate,No
Howrah Jn,7,0,Mon,18,89.5,Overcrowded,High,Yes
Howrah Jn,8,0,Mon,18,84.7,Overcrowded,High,Yes
Howrah Jn,9,0,Mon,18,75.3,Overcrowded,High,Yes
Howrah Jn,10,0,Mon,18,70.6,High,High,No
Howrah Jn,11,0,Mon,18,73.4,High,High,No
Howrah Jn,12,0,Mon,18,77.2,Overcrowded,High,No
Howrah Jn,13,0,Mon,18,75.3,Overcrowded,High,No
Howrah Jn,14,0,Mon,18,73.4,High,High,No
Howrah Jn,15,0,Mon,18,77.2,Overcrowded,High,No
Howrah Jn,16,0,Mon,18,82.9,Overcrowded,High,No
Howrah Jn,17,0,Mon,18,89.5,Overcrowded,High,Yes
Howrah Jn,18,0,Mon,18,94.2,Overcrowded,High,Yes
Howrah Jn,19,0,Mon,18,94.2,Overcrowded,High,Yes
Howrah Jn,20,0,Mon,18,92.3,Overcrowded,High,Yes
Howrah Jn,21,0,Mon,18,86.6,Overcrowded,High,No
Howrah Jn,22,0,Mon,18,75.3,Overcrowded,Moderate,No
Howrah Jn,23,0,Mon,18,61.2,High,Moderate,No
Howrah Jn,0,1,Tue,18,42.4,Moderate,Moderate,No
Howrah Jn,1,1,Tue,18,38.5,Moderate,Moderate,No
Howrah Jn,2,1,Tue,18,37.0,Moderate,Moderate,No
Howrah Jn,3,1,Tue,18,38.5,Moderate,Moderate,No
Howrah Jn,4,1,Tue,18,42.4,Moderate,Moderate,No
Howrah Jn,5,1,Tue,18,53.9,Moderate,Moderate,No
Howrah Jn,6,1,Tue,18,65.5,High,Moderate,No
Howrah Jn,7,1,Tue,18,73.2,High,High,Yes
Howrah Jn,8,1,Tue,18,69.3,High,High,Yes
Howrah Jn,9,1,Tue,18,61.6,High,High,Yes
Howrah Jn,10,1,Tue,18,57.8,High,High,No
Howrah Jn,11,1,Tue,18,60.1,High,High,No
Howrah Jn,12,1,Tue,18,63.2,High,High,No
Howrah Jn,13,1,Tue,18,61.6,High,High,No
Howrah Jn,14,1,Tue,18,60.1,High,High,No
Howrah Jn,15,1,Tue,18,63.2,High,High,No
Howrah Jn,16,1,Tue,18,67.8,High,High,No
Howrah Jn,17,1,Tue,18,73.2,High,High,Yes
Howrah Jn,18,1,Tue,18,77.0,Overcrowded,High,Yes
Howrah Jn,19,1,Tue,18,77.0,Overcrowded,High,Yes
Howrah Jn,20,1,Tue,18,75.5,Overcrowded,High,Yes
Howrah Jn,21,1,Tue,18,70.9,High,High,No
Howrah Jn,22,1,Tue,18,61.6,High,Moderate,No
Howrah Jn,23,1,Tue,18,50.1,Moderate,Moderate,No
Howrah Jn,0,2,Wed,18,40.0,Moderate,Moderate,No
Howrah Jn,1,2,Wed,18,36.4,Moderate,Moderate,No
Howrah Jn,2,2,Wed,18,34.9,Low,Moderate,No
Howrah Jn,3,2,Wed,18,36.4,Moderate,Moderate,No
Howrah Jn,4,2,Wed,18,40.0,Moderate,Moderate,No
Howrah Jn,5,2,Wed,18,50.9,Moderate,Moderate,No
Howrah Jn,6,2,Wed,18,61.8,High,Moderate,No
Howrah Jn,7,2,Wed,18,69.1,High,High,Yes
Howrah Jn,8,2,Wed,18,65.5,High,High,Yes
Howrah Jn,9,2,Wed,18,58.2,High,High,Yes
Howrah Jn,10,2,Wed,18,54.6,Moderate,High,No
Howrah Jn,11,2,Wed,18,56.8,High,High,No
Howrah Jn,12,2,Wed,18,59.7,High,High,No
Howrah Jn,13,2,Wed,18,58.2,High,High,No
Howrah Jn,14,2,Wed,18,56.8,High,High,No
